episode,total_reward,target_reward,smoothed_total_reward_100,smoothed_target_reward_100
212,-498.71364583985707,-13.360752752495214,-376.25726468718943,-52.74927662668982
213,-339.6748651757852,-58.106008262439076,-374.4735813743181,-52.734831064091665
214,-439.5789958217458,-15.415896347630193,-373.62721402889156,-52.753098781446475
215,-292.91607708008684,-16.1497450940999,-372.0476768459997,-51.894288165985294
216,-286.13174444271846,-42.700087620891765,-371.27234003970614,-51.79261015835451
217,-313.4273491533332,-63.657876703153484,-370.1144500786764,-52.23630825992777
218,-522.4082944519532,-20.868381882342824,-368.9741077291716,-51.149023832177136
219,-484.670047437441,-19.268481976435094,-369.2733659482867,-51.169179341325076
220,-316.3510947088284,-59.29759887635578,-367.8125142801428,-51.009227701252925
221,-203.32888197398105,-73.58389002126681,-365.21832164097134,-51.589569125221516
222,-383.354413015902,-62.352236825574394,-365.43365373135106,-51.03544774810987
223,-372.97174913352114,-59.001927546969405,-364.7822234604986,-51.50600503298236
224,-257.5506126932613,-54.8352627994768,-363.11049687750483,-51.09124650302258
225,-389.67999656718763,-58.442977557839676,-362.87045554096505,-51.16467472521679
226,-443.6970857641218,-27.16150937400887,-362.82280021685546,-50.62691580946713
227,-330.980412236873,-68.49236339382323,-363.11979387772044,-49.66897676343495
228,-336.9297212019479,-99.59378267241256,-360.82332232013033,-50.09053769113287
229,-425.6353048109539,-16.1821224029282,-359.4592401955561,-49.021784295879534
230,-204.5617032738287,-16.013053937627966,-357.69608403313157,-48.401805941601964
231,-344.9059579450666,-35.33063699867786,-356.5973001608405,-48.18553240147827
232,-297.1523364058095,-93.93764562272221,-356.2083066648635,-48.39040592443421
233,-280.88551421680046,-62.11575708184064,-355.15319794537675,-48.80599929796554
234,-211.73224361440245,-49.90337674145089,-353.13640483412854,-49.066937446975366
235,-288.8064940577662,-14.644593035798723,-351.67788295471354,-48.481155448428595
236,-370.66347098668217,-40.859414451537305,-350.3506862986057,-48.742977272674274
237,-375.1458710034705,-148.71098998758683,-350.17594606664574,-49.70701818849867
238,-287.3608824023147,-75.54478466603018,-348.5974633438893,-49.62831469218037
239,-271.9162036396683,-17.691084226532027,-348.4921845249117,-49.38246802816663
240,-502.09228680671254,-38.01839941177843,-349.9265618354075,-49.42123134708572
241,-295.82329496839986,-64.62827969474456,-349.7076697968503,-49.908978776095076
242,-294.98110970711576,-17.208534783727913,-349.1352461431964,-48.915035341084895
243,-334.65291507524665,-17.13646683354009,-348.42297303525413,-48.965681623175094
244,-260.72263168643155,-79.74053166486358,-347.46999539660175,-49.61259346660941
245,-260.8533573477496,-154.54727598033617,-346.0607986661335,-50.401904562289666
246,-244.0036931036359,-22.21421559379988,-343.06775772667424,-50.31778819811383
247,-276.42879128201173,-73.13926654557798,-340.7172739024924,-50.183179769896775
