episode,total_reward,target_reward,smoothed_total_reward_100,smoothed_target_reward_100
128,-151.4117406107877,-16.257374700774648,-165.53886408399168,-20.28851668019429
129,-170.52126842064504,-16.624936378573324,-166.32299062844186,-20.045094841200054
130,-208.20800639561003,-8.1018170220179,-166.93427903889582,-19.73251360131446
131,-204.5726984077315,-15.656555804585516,-166.99702132940388,-19.72993132334009
132,-219.78330387131047,-18.56705512988122,-167.92289393545232,-19.74333039123112
133,-205.1494451896022,-8.950626593655201,-168.1238624051637,-19.692211384499362
134,-205.22082234196805,-8.81438026561175,-168.14075977181088,-19.604222526678655
135,-235.14505746595052,-13.752213467358702,-169.38892555970136,-19.56954052169152
136,-228.10506604802427,-14.842662210527534,-170.27307590045635,-19.562971571849005
137,-243.34582855623012,-7.53914745527034,-171.22959346478584,-18.993637189196846
138,-211.03935601001416,-57.87648110935552,-171.906227456424,-19.40987264204987
139,-264.35914385728734,-16.098750797725657,-172.89604738905658,-19.32079568743117
140,-246.33547674448985,-14.940789642060055,-174.10952061814828,-19.29679066164871
141,-225.06864313525998,-18.65929602666958,-174.4338483620341,-19.140494735563866
142,-228.42861204165797,-29.554477664600313,-175.44609647699482,-19.286931220319385
143,-225.10647931608344,-28.49972966782263,-177.06108366313273,-19.403731550938293
144,-292.2275533111168,-31.137749300984897,-178.51277601161075,-19.53226789576563
145,-231.18674078779793,-35.518443921656505,-179.58235561666493,-19.32150382682092
146,-261.1409830152081,-15.295606270086203,-180.41318952485787,-19.338963811918784
147,-225.97573493363365,-35.70170150998046,-181.37519807710154,-19.3993149781408
148,-268.60001963468306,-94.36649035132739,-182.93792587723885,-20.163892842423053
149,-218.85728297701203,-9.349285433193698,-183.0869738652206,-20.09542360391385
150,-248.5392672792197,-34.82018012516844,-184.1431153000741,-20.282026618335355
151,-212.3929466673328,-13.043343900670212,-185.474922747021,-19.882868127691648
152,-270.9742646185297,-54.44665766109278,-186.09354801641985,-20.076996969839616
153,-202.18583320740888,-12.896759506194977,-186.9502274869022,-20.038950720835476
154,-243.76218556401145,-22.427365033601564,-187.16576562197275,-20.045745779406424
155,-239.27468713172675,-89.346366594746,-188.17243565849026,-20.781973952571857
156,-228.60155573058134,-89.49057748589543,-188.76281675168855,-21.472921033822463
157,-272.5805002827261,-58.4884704924217,-189.79827554406216,-21.918347503763663
158,-282.9705745106419,-72.90560354688633,-191.19721039065305,-22.49516711924944
159,-226.33777940971544,-72.27098276211551,-191.40853384222697,-23.074201351165147
160,-209.33403685092773,-54.733839147177136,-191.58588215239706,-23.433019762581438
161,-221.7780804811789,-89.67038527887385,-192.21711753719813,-24.144874077100436
162,-243.99281679327598,-27.87642152026012,-193.1902107199363,-24.27122168428663
163,-203.60000448538483,-38.73488145859042,-193.09745270443977,-24.263587246841613
164,-241.83148166975747,-45.7959467755477,-193.55744040084153,-24.339366331112632
165,-199.75596619789104,-29.658611386490314,-194.029961786568,-24.51542579146616
166,-207.66346596477072,-94.3690882683559,-193.715563504292,-25.3465052857405
167,-232.69234550380168,-59.18277865679828,-194.82083531514758,-25.78710807398315
168,-195.67822556761737,-77.01859744856289,-195.384497409828,-26.248139517475206
169,-251.07905249281657,-68.7515134060375,-196.97254110806927,-26.790719254335695
170,-243.1197670287329,-92.72815756800121,-197.83030515249146,-27.16372173686398
171,-221.59310230750566,-57.50098214536422,-198.40626470798531,-27.460313164042443
172,-224.07779182322443,-81.09669374029166,-198.82425839948647,-28.12856084581663
173,-189.51881308969314,-65.88459007308518,-198.7931101233064,-28.65468999354419
174,-204.1091114198676,-73.54596585840144,-198.5984745781612,-29.21222163996591
175,-233.0177880604799,-90.53283895681216,-198.94978057535238,-29.992279630659684
176,-227.93230985674973,-88.4643020265159,-198.12538924995297,-30.685761586823492
177,-243.37701901002256,-105.2736372685527,-198.62482685148558,-30.87851776320032
178,-274.10937294051695,-106.52694872995934,-199.61548746971496,-31.815768926114014
179,-289.88781531502804,-71.53120699488635,-201.11213183471648,-32.40998454132954
180,-206.08424133864006,-53.853388937143386,-202.20914296882592,-32.82143939874416
181,-191.2665364781334,-83.51837940814536,-202.00383155467074,-33.50885311151071
182,-212.93038742467485,-66.34202698459025,-202.88818007460867,-33.652355367139215
183,-201.7596370752829,-60.4433327297261,-203.57814661782783,-34.09693711481452
184,-243.08356137664026,-32.42321658166647,-204.1135754619343,-34.227870310869605
185,-220.37110995643684,-73.1206633005895,-204.36217042596522,-34.84672290137043
186,-168.8169933550721,-47.51458995966914,-204.29638043605806,-35.04112021162338
187,-216.15106972317113,-85.63175046921903,-205.0343112291528,-35.74538418979475
188,-206.28630489539665,-66.08929823374002,-204.6182382472339,-36.25267007966142
189,-231.0694270128158,-91.80272355284899,-205.3724110833581,-37.0289022126685
190,-238.9319760186446,-30.361227025891985,-205.46743906668135,-37.17045543554073
191,-227.1620084117214,-102.46312591723482,-205.97434972264293,-38.02890191245143
192,-225.2305833174417,-83.52418859158689,-206.9302692822723,-38.701101363404696
193,-195.69005305241274,-44.379593985351505,-207.77856589511475,-38.97788584713998
194,-236.58686524853272,-84.29714206212776,-208.76428249505474,-39.657348067201845
195,-188.0948783098828,-59.13445547048659,-209.5617349436919,-40.12373542019618
196,-183.297242824809,-74.14361258517165,-209.6839418795859,-40.71214248630699
197,-273.63128726826255,-24.301520301666066,-210.54799182931075,-40.83291093458053
198,-244.55087328148895,-80.02144623092218,-210.6866387371442,-41.48872422522003
199,-217.2945366686298,-39.515954112544506,-211.6196291579633,-41.75499255454146
200,-146.78185061627994,-69.39787972361698,-211.24708905896773,-42.31323984919123
201,-201.94827520546232,-26.415666871319424,-211.98970624784567,-42.438689665326876
202,-231.61033557453595,-81.95666862920456,-213.04678546122088,-43.12283391679872
203,-204.24735580809795,-71.27350918655856,-212.73082387228865,-43.238169024683174
204,-154.53876493426614,-33.58487778844172,-212.91982191868397,-43.43336822827321
205,-191.04588959473506,-13.357599201863117,-213.72641358445887,-43.42480834864065
206,-188.17975989855955,-20.34778731588221,-214.13904577735516,-43.460870761113604
207,-153.41030013181467,-3.185413567728488,-214.21573186623155,-43.40028768462918
208,-161.25578353927193,-8.581646747068696,-214.18918663333892,-43.33957041163874
209,-170.95625189344588,-36.648841107812814,-214.0532363721229,-43.551306342750784
210,-105.85617280927801,-34.92375175295306,-213.73743648425355,-43.778656149959254
211,-185.00751869281183,-23.67631239970572,-214.09084341669697,-43.86533559240555
212,-189.56217139003883,-53.551531678160494,-214.7116216267032,-44.2882918968615
213,-202.4509571312641,-23.479914715607666,-215.16995584726675,-44.377794325949914
214,-154.49769716992802,-20.354043820382184,-214.93331760664486,-44.43868325194479
215,-134.37342394247696,-27.145292840777593,-214.94818702933512,-44.193799857757945
216,-173.54181545913107,-52.67857814096873,-214.97423364234442,-44.602329259539516
217,-177.47925070516234,-30.107360894935482,-215.08410690929716,-44.7831242322482
218,-266.5860331422599,-44.99022525795929,-215.68212714645463,-45.13115805117996
219,-212.8063061556932,-21.77180882085094,-215.72326718730085,-45.22721843913859
220,-167.77311628583982,-40.76621269922904,-215.40484264117453,-45.55152372431527
221,-187.41243908957898,-23.99895020166187,-215.67859567636555,-45.66955882494257
222,-210.63898393248485,-66.85280056511193,-214.81663291247503,-46.21994333604608
223,-157.09165976738743,-50.88879627054907,-214.37903134514917,-46.60200821459324
224,-103.85275612123033,-81.84858622342078,-213.6830477742001,-47.327243319697345
225,-164.9631713301411,-56.995285952243705,-213.42512262479596,-47.77513928934874
226,-168.5562698126466,-18.331879291983405,-212.68638433622314,-47.85478544368596
227,-168.900487976101,-17.881830383045703,-212.19171595481254,-47.92993953030442
228,-166.91835124011314,-65.72859066058334,-212.34678206110578,-48.42465168990251
229,-222.01537743830298,-88.73479851594405,-212.86172315128235,-49.14575031127621
230,-175.6611444282309,-32.53384102166813,-212.53625453160856,-49.390070551272714
231,-202.9802574250425,-45.080574203256894,-212.52033012178168,-49.68431073525944
232,-177.6311564078344,-40.54205365416719,-212.09880864714694,-49.904060720502294
233,-199.2864008845208,-11.909838028088469,-212.04017820409612,-49.93365283484662
234,-187.40850588910797,-87.72677534763007,-211.8620550395675,-50.7227767856668
235,-192.42574352997548,-30.16197183785731,-211.43486190020778,-50.88687436937179
236,-199.60520044227533,-84.39947513678689,-211.14986324415025,-51.582442498634386
237,-244.5232631812278,-43.72995993558116,-211.16163759040023,-51.944350623437494
238,-155.0923206334813,-20.57344164518692,-210.6021672366349,-51.5713202287958
239,-172.77338997604687,-56.63522024519449,-209.6863096978225,-51.97668492327049
240,-195.46705583314116,-90.3741365300709,-209.17762548870903,-52.73101839215061
241,-205.58499105624546,-80.43217389075438,-208.98278896791888,-53.348747170791455
242,-202.80964919517658,-19.731961826655592,-208.72659933945408,-53.250522012412006
243,-169.63275219058093,-68.1167480232459,-208.17186206819906,-53.64669219596624
244,-203.46187850745423,-53.174563241973885,-207.28420532016244,-53.86706033537613
245,-234.667561128427,-49.88002510294705,-207.3190135235687,-54.01067614718903
246,-215.54417209287413,-82.19685257925443,-206.86304541434538,-54.679688610280714
247,-203.10669073420107,-75.75468221482228,-206.63435497235108,-55.080218417329135
248,-152.7629142848218,-90.88064596712638,-205.47598391885248,-55.045359973487116
249,-186.36153796400623,-70.69677427515269,-205.1510264687224,-55.65883486190671
250,-173.57450058102506,-70.41847909323137,-204.40137880174046,-56.01481785158734
251,-217.52331617002173,-54.88116829427585,-204.45268249676735,-56.4331960955234
252,-194.72687493252315,-71.63068194771468,-203.69020859990727,-56.605036338389624
253,-181.60837661485186,-68.80749651251487,-203.4844340339817,-57.16414370845281
254,-262.5575913948169,-64.36034269111936,-203.67238809228976,-57.58347348502799
255,-168.20473491729734,-54.139195336119826,-202.96168857014547,-57.23140177244173
256,-152.722559129783,-63.39754925055976,-202.20289860413746,-56.97047149008837
257,-198.98457606722403,-71.3132003116411,-201.46693936198244,-57.09871878828057
258,-185.14353267951935,-71.7809285546648,-200.48866894367117,-57.08747203835836
259,-251.13417318589617,-75.79835575152359,-200.736632881433,-57.12274576825244
260,-191.9655284022706,-100.66164992157996,-200.56294779694642,-57.58202387599647
261,-194.09275776434254,-79.16746734933425,-200.28609456977807,-57.47699469670107
262,-179.39569538749848,-100.96111777843494,-199.6401233557203,-58.20784165928281
263,-168.0616483799089,-38.32550398493356,-199.2847397946656,-58.20374788454625
264,-214.35671051868204,-43.41300648884928,-199.00999208315486,-58.179918481679266
265,-200.22424125197645,-56.22864244190342,-199.0146748336957,-58.4456187922334
266,-207.08966107886206,-33.88379914350821,-199.00893678483664,-57.84076590098492
267,-273.62650187275756,-51.63640209084755,-199.41827834852617,-57.76530213532541
268,-256.3052572020168,-25.93011031255486,-200.02454866487014,-57.25441726396534
269,-181.54938836422906,-33.65346929902006,-199.32925202358427,-56.90343682289516
270,-219.9850092458771,-57.81039887844838,-199.0979044457557,-56.55425923599963
271,-313.0884811373185,-38.46258751977078,-200.01285823405382,-56.36387528974369
272,-211.37769721141376,-11.27682852458415,-199.88585728793572,-55.665676637586614
273,-215.38668355267987,-32.51099129900859,-200.14453599256558,-55.331940649845855
274,-146.32199119221127,-16.31109936416892,-199.56666479028905,-54.75959198490352
275,-243.19892224385376,-33.9373551784428,-199.66847613212278,-54.19363714711982
276,-145.22859004281796,-14.307843601034852,-198.84143893398348,-53.45207256286501
