episode,total_reward,target_reward,smoothed_total_reward_100,smoothed_target_reward_100
73,110.57513782030875,-82.51779255453728,,
74,-390.24959968734976,-70.33667797053525,,
75,-426.74338173397535,-104.85960517039656,,
76,-304.12214066562194,-23.28053876601582,,
77,-317.2823538373661,-31.987034108367492,,
78,-329.7571488969241,-35.014765721527674,,
79,-345.13037339332703,-23.86734493628397,,
80,-413.71795762482907,-18.098854980786317,,
81,-406.5869806341455,-78.65604267334345,,
82,-297.5400804889811,-40.76704007411823,,
83,-391.03106544933297,-62.41235625749514,,
84,-361.7999825979202,-18.232402345207365,,
85,-347.5340509694369,-20.114109405531917,,
86,-495.9892277025821,-70.19184599914162,,
87,-368.3240453956627,-25.966167266748414,,
88,-406.22313216252115,-51.85905622551386,,
89,-362.00956580134545,-36.95015496779191,,
90,-445.94583750692533,-22.426155830759527,,
91,-539.1152416107072,-51.75126942108891,,
92,-352.17902115228065,-96.93186729891997,,
93,-561.5554783324467,-15.142917334118518,,
94,-382.9268326996718,-16.478724074597924,,
95,-543.411745207147,-76.14382447352295,,
96,-444.90389945432395,-52.28071623923633,,
97,-533.3765536025347,-128.6185442443587,,
98,-474.49047990278046,-86.2902065518199,,
99,-620.8990922590609,-86.38865285169194,-397.1396414896275,-42.4628819312668
100,-533.1651702032939,-98.77516225184598,-397.5281106493893,-42.83824120296464
101,-574.6878875042898,-83.30367818180986,-400.4297812724413,-43.49002245064672
102,-428.9651611483671,-19.65128800670669,-400.71783873697757,-43.5120497844267
103,-547.4069634133791,-73.11991115841671,-400.5683798941275,-44.1076211056391
104,-563.0597934302457,-83.94498831907387,-402.9863412884654,-44.62603621958147
105,-565.1388277569367,-39.80809691799251,-404.8473641744344,-44.82395561360659
106,-536.0217526844054,-89.6605756735043,-406.7219457553594,-45.54644748938186
107,-524.0931937142424,-14.456001474045891,-408.9144615916082,-45.060765868439915
108,-551.8322494887509,-19.752263949520007,-410.44304647110266,-45.10936331548521
109,-612.0958651927597,-43.435830670055566,-413.53071173679837,-44.99332519380444
110,-645.4805010955266,-15.055127019183251,-416.87477811643066,-44.675224001905036
111,-638.6391719671539,-33.44954625330972,-418.69026271514025,-44.84733728122733
112,-766.8184152975598,-68.64935613444783,-422.96845214781075,-44.87014926649181
113,-598.3365356331012,-153.78094172005115,-424.522296356575,-46.27314867709599
114,-718.5431167770723,-55.47288894715018,-428.67854508076437,-46.64903507424867
115,-574.4865045631618,-87.6899620747092,-432.4850947410539,-47.34710822062145
116,-553.7791676644215,-59.41363396422744,-433.5562090641396,-47.77191044426439
117,-564.6021312090294,-107.37623916317696,-435.45565875577137,-48.194732693646095
118,-663.2148367859492,-39.80399601457805,-437.5711417760762,-48.080446944494845
119,-661.109642607873,-13.17534341057405,-439.7257378681899,-48.00992425787939
120,-579.7708241113743,-41.60499356265542,-440.89551966566404,-48.2584026926828
121,-639.742029023156,-56.33148993206593,-444.1682626525454,-48.639150441165626
122,-721.662541110044,-116.88163597480533,-448.10191639372863,-49.61572835003609
123,-556.1112326232019,-54.61021101585347,-450.17091866012754,-49.48752236302591
124,-737.1308719037942,-74.04497878885823,-453.4089660185309,-49.53569827602015
125,-626.4113269456832,-173.16789227458594,-456.0372152766238,-50.6219245815849
126,-704.8132867751085,-23.905364262249257,-459.6386287988497,-50.694369951226435
127,-552.7724882191673,-119.08538368928332,-461.0626246676161,-51.70992408824387
128,-670.513829222274,-44.70125331640025,-464.08091368039817,-51.96616113286766
129,-646.1901231471368,-54.737792187513975,-466.04603455668166,-51.97673303468183
130,-676.6397753942722,-104.18934618371931,-467.27958810161607,-52.7819098706016
131,-690.3531912891284,-142.4456569838648,-469.85548507029836,-54.01808782811714
132,-793.7033772800849,-133.89971979438332,-474.6290613311055,-55.15058578256452
133,-668.5902382074595,-94.87579350439054,-476.88288086435136,-55.517299507396515
134,-617.9227171127955,-76.66933983016432,-478.41669726801877,-56.02819575119924
135,-629.4339112471629,-53.8278114687982,-479.93737516785455,-55.81643602061372
136,-701.9340380471416,-14.610500555715403,-484.3877432194478,-55.76097646892369
137,-772.1976607028752,-103.27342411341954,-487.3436209303922,-56.624600479407434
138,-596.3535144756007,-112.93957469647917,-488.8339973652474,-56.82844121821826
139,-681.5981528313488,-14.61850269140835,-491.3169143334043,-56.81646770974697
140,-683.1709304149673,-122.51518142810612,-493.6605995828419,-57.113115273817805
141,-527.3358068747133,-40.91646580279522,-495.44038890707566,-57.214557898433206
142,-645.8910138264563,-129.73796769667425,-497.146724986103,-58.27712607922664
143,-679.1111987416368,-119.62334337774779,-499.8155442737237,-59.289105060922914
144,-588.6017754990844,-84.09415447796702,-501.2121133860718,-59.89430972671213
145,-602.5020509373321,-108.63519737597073,-503.0127729035522,-60.77339259598
146,-651.6199983900458,-97.50047182397222,-505.673972091343,-61.207646140667926
147,-586.8536536192081,-36.99582669108567,-506.99473408422307,-61.38333378006805
148,-566.5672621024471,-15.404857724809343,-508.33362176370645,-61.004350998240064
149,-611.2502485179297,-88.8181056741383,-509.96625560404,-61.65361695363991
150,-576.479245755196,-14.710740345447936,-511.71706444480503,-61.61495821876933
151,-595.0327715958401,-46.269733946035316,-514.3954368855892,-61.90036063245142
152,-740.9177492677928,-10.634270436597184,-517.9497322188436,-61.26339640148532
153,-528.5522620859803,-62.944844086243066,-519.0645257000716,-61.58692518197325
154,-624.0000390875599,-107.38555392562796,-521.4459646626557,-61.917293557734716
155,-604.8808277184389,-120.57861950435658,-524.139889145941,-62.67080972121717
156,-459.60448351458916,-15.482113348538755,-524.5628000290623,-62.60002469253502
157,-530.9674770864415,-113.26720079774216,-525.6678112647772,-63.55756174886036
